Yillar;Toplam;Tarim;Sanayi;Ýnsaat;Hizmetler
2005;100,0;25,5;21,4;5,7;47,4
2006;100,0;23,4;21,8;6,0;48,8
2007;100,0;22,0;21,9;6,1;49,9
2008;100,0;21,8;22,2;6,1;50,0
2009;100,0;23,3;20,2;6,3;50,2
2010;100,0;23,3;21,2;6,5;49,0
2011;100,0;22,8;21,0;7,2;49,0
2012;100,0;21,7;20,6;7,2;50,5
2013;100,0;20,6;21,0;7,3;51,2
2014;100,0;20,3;20,7;7,4;51,6
2015;100,0;20,2;20,2;7,2;52,4
2016;100,0;19,5;19,5;7,3;53,6
2017;100,0;19,2;19,2;7,5;54,0
2018;100,0;18,4;19,8;7,0;54,8
2019;100,0;18,2;19,9;5,6;56,4
2020;100,0;17,7;20,5;5,8;55,9
2021;100,0;17,2;21,3;6,2;55,3
2022;100,0;15,8;21,7;6,0;56,5
