Yillar;15 ve daha yukari yastaki nufus;isgucu;istihdam;issiz;isgucune dahil olmayanlar;isgucune katilma orani(%);istihdam orani;issizlik orani(%)
2005;48 356;21 321;19 357;1 964;27 035;44,1;40;9,2
2006;49 274;21 602;19 717;1 885;27 672;43,8;40;8,7
2007;50 177;21 954;20 001;1 953;28 223;43,8;39,9;8,9
2008;50 981;22 628;20 399;2 228;28 354;44,4;40;9,8
2009;51 833;23 588;20 534;3 055;28 245;45,5;39,6;12,9
2010;52 903;24 516;21 810;2 705;28 387;46,3;41,2;11
2011;53 984;25 452;23 166;2 287;28 531;47,1;42,9;9
2012;54 961;25 891;23 738;2 153;29 070;47,1;43,2;8,3
2013;55 981;26 871;24 486;2 386;29 110;48;43,7;8,9
2014;56 985;28 605;25 774;2 831;28 379;50,2;45,2;9,9
2015;57 870;29 550;26 501;3 049;28 320;51,1;45,8;10,3
2016;58 739;30 449;27 126;3 323;28 290;51,8;46,2;10,9
2017;59 892;31 516;28 075;3 441;28 377;52,6;46,9;10,9
2018;60 653;32 203;28 691;3 512;28 449;53,1;47,3;10,9
2019;61 468;32 505;28 042;4 463;28 962;52,9;45,6;13,7
2020;62 579;30 735;26 695;4 040;31 844;49,1;42,7;13,1
2021;63 704;32 716;28 797;3 919;30 989;51,4;45,2;12
2022;64 679;34 334;30 752;3 582;30 345;53,1;47,5;10,4
